Date,SPX,USO,SLV,EUR/USD,GLD
2011-09-29,90.07,255.76,29.96,1.3538,157.7
2011-09-30,87.82,243.92,28.91,1.3586,158.06
2011-10-03,85.32,237.92,29.49,1.3361,160.96
2011-10-04,87.19,239.28,29.09,1.3195,157.64
2011-10-05,88.8,246.72,29.66,1.333,159.46
2011-10-06,90.41,255.84,31.2,1.334,160.49
2011-10-07,89.81,256.32,30.23,1.3429,159.18
2011-10-10,92.81,265.92,31.26,1.3386,163.27
2011-10-11,92.9,264.08,31.38,1.3635,162.1
2011-10-12,93.72,263.36,31.77,1.3646,163.26
2011-10-13,93.53,261.2,30.94,1.3792,162.3
2011-10-14,95.13,270.96,31.34,1.3736,163.4
2011-10-17,93.31,267.44,31.04,1.3879,162.62
2011-10-18,95.14,273.2,31.33,1.3744,161.84
2011-10-19,94.01,266.48,30.23,1.374,159.87
2011-10-20,94.42,266.64,29.73,1.3765,157.77
2011-10-21,96.22,270.8,30.48,1.3779,159.52
2011-10-24,97.4,283.04,30.87,1.3848,161.02
2011-10-25,95.5,286.4,32.43,1.3922,165.59
2011-10-26,96.47,280.48,32.5,1.3905,167.4
2011-10-27,99.83,289.68,34.1,1.3877,169.55
2011-10-28,99.81,288.24,34.27,1.4174,169.62
2011-10-31,97.4,285.92,33.44,1.414,167.34
2011-11-01,94.69,281.6,32.33,1.386,167.38
2011-11-02,96.23,285.36,33.25,1.3656,169.06
2011-11-03,97.99,290.56,33.62,1.369,171.72
2011-11-04,97.39,291.68,33.2,1.383,170.85
2011-11-07,97.99,296.72,34.08,1.3789,174.98
2011-11-08,99.25,299.44,34.0,1.376,173.53
2011-11-09,95.59,296.0,33.1,1.3826,172.07
2011-11-10,96.49,301.76,33.14,1.3527,171.14
2011-11-11,98.3,305.68,33.74,1.361,173.96
2011-11-14,97.37,302.88,33.33,1.3787,173.2
2011-11-15,97.85,307.44,33.66,1.3624,173.36
2011-11-16,96.3,314.72,32.82,1.3507,171.51
2011-11-17,94.77,305.84,30.64,1.3441,167.1
2011-11-18,94.67,302.56,31.4,1.3458,167.62
2011-11-21,92.87,300.72,30.76,1.353,163.5
2011-11-22,92.51,302.56,31.89,1.3484,165.31
2011-11-23,90.47,297.28,30.93,1.3522,164.83
2011-11-25,90.29,297.28,30.2,1.3331,163.4
2011-11-28,92.91,302.8,31.27,1.3313,166.63
2011-11-29,93.17,308.4,31.03,1.3317,166.88
2011-11-30,97.01,310.24,32.0,1.3324,170.13
2011-12-01,96.99,308.88,31.86,1.3444,169.63
2011-12-02,96.91,312.24,31.65,1.3467,169.82
2011-12-05,97.96,312.08,31.05,1.3419,167.32
2011-12-06,97.99,312.0,31.93,1.3387,168.18
2011-12-07,98.36,310.48,31.61,1.3412,169.4
2011-12-08,96.2,302.24,30.7,1.3404,165.98
2011-12-09,97.83,308.0,31.33,1.3345,166.4
2011-12-12,96.4,303.04,30.49,1.3372,161.99
2011-12-13,95.5,308.88,29.82,1.3171,158.45
2011-12-14,94.49,293.28,28.07,1.3019,152.89
2011-12-15,94.83,289.04,28.22,1.2988,152.33
2011-12-16,94.97,290.16,28.85,1.303,155.23
2011-12-19,93.95,289.6,27.96,1.3037,154.87
